equipment_id,serial_number,description,list_price,meter_hours,current_address,current_city,state_province,postal_code,current_country,category,subcategory,make,model,model_year,financing_eligible,warranty_eligible,photo_url,video_url,assigned_customer_name,assigned_service_location_name
9512b25b-7876-4aa9-a0b1-19e9e5b76220,SNRW3GEN001,19ft Electric Scissor Lift,18000.0,150,123 Main St,Toronto,ON,M5V 2N1,Canada,Aerial Lifts,Scissor Lifts,Genie,GS-1930,2022,True,True,/static/images/SNRW3GEN001.jpg,/static/videos/SNRW3GEN001.mp4,ConstructAll Ltd.,Toronto Central Depot
aa881b88-e6ce-4a59-a1fe-a954b17edb90,SNJDEXC002,Compact Excavator with Cab,75000.0,1250,456 Oak Ave,Los Angeles,CA,90001,USA,Earthmoving,Excavators,John Deere,35G,2020,True,False,/static/images/SNJDEXC002.jpg,,RentWise Inc.,LAX Area Yard
ed8e8dac-277b-4940-bbb7-3f56ad64e0bd,SNCATSKD003,Skid Steer Loader,55000.0,800,789 Pine Rd,Houston,TX,77002,USA,Earthmoving,Skid Steer Loaders,Caterpillar,272D3,2021,True,True,/static/images/SNCATSKD003.jpg,,AgriCorp Solutions,Houston South Terminal
0f41305f-a642-4e5c-b314-54b89103bd0b,SNJLGBL004,Articulating Boom Lift 45ft,92000.0,600,101 Maple Dr,Calgary,AB,T2P 2V7,Canada,Aerial Lifts,Articulating Boom Lifts,JLG,450AJ,2022,False,True,/static/images/SNJLGBL004.jpg,/static/videos/SNJLGBL004.mp4,InfraBuild Co.,Calgary North Operations
67602172-ef70-4a72-8fde-6b98d30ffcb4,SNVOLVOEX005,Large Crawler Excavator,280000.0,3500,234 Birch Ln,Toronto,ON,M4B 1B4,Canada,Earthmoving,Excavators,Volvo,EC380EL,2019,True,False,/static/images/SNVOLVOEX005.jpg,,Precision Movers,Boston Metro Hub
3f7f4c96-8a2c-4d33-b91a-cc563434f47c,SNBCSKID006,Compact Track Loader,68000.0,450,567 Cedar St,Boston,MA,02101,USA,Earthmoving,Skid Steer Loaders,Bobcat,T66,2023,True,True,/static/images/SNBCSKID006.jpg,,UrbanScape Developers,NY Logistics Center
c9e9abb0-d55a-47e1-ad68-f35d439867c8,SNKOMEXC007,Mid-Size Excavator,180000.0,2100,890 Willow Ave,Los Angeles,CA,90013,USA,Earthmoving,Excavators,Komatsu,PC210LC-11,2020,True,False,/static/images/SNKOMEXC007.jpg,,TerraForm Earthworks,Toronto Central Depot
c8ec95ca-0aac-4872-9e68-5b2ba9be324a,SNGENIEABL008,60ft Telescopic Boom Lift,115000.0,980,111 Aspen Rd,Houston,TX,77008,USA,Aerial Lifts,Telescopic Boom Lifts,Genie,S-60 XC,2021,True,True,/static/images/SNGENIEABL008.jpg,/static/videos/SNGENIEABL008.mp4,HighRise Builders,LAX Area Yard
3fa402a9-949c-421c-8e66-016995946374,SNCASEBL009,Compact Backhoe Loader,88000.0,1500,222 Spruce Dr,Calgary,AB,T2P 2V8,Canada,Earthmoving,Backhoe Loaders,Case,580SN,2019,False,False,/static/images/SNCASEBL009.jpg,,GreenField Landscaping,Houston South Terminal
478a96a1-7b70-44f5-927f-9ac209c605aa,SNKUBOTAUTV010,Utility Vehicle 4-Seater,22000.0,300,333 Redwood Cr,Toronto,ON,M5R 1A1,Canada,Utility Vehicles,UTVs,Kubota,RTV-XG850 Sidekick,2023,True,True,/static/images/SNKUBOTAUTV010.jpg,/static/videos/SNKUBOTAUTV010.mp4,AllRoads Paving,Calgary North Operations
f262d48f-5ceb-4ee6-bcbb-9cf9c6a9549d,SNDEEREAG011,Row Crop Tractor,150000.0,2200,Farm Rd 1,Dallas,TX,75201,USA,Agricultural Equipment,Tractors,John Deere,6155R,2020,True,False,/static/images/SNDEEREAG011.jpg,,ConstructAll Ltd.,Boston Metro Hub
669faa1c-25f8-454f-9fb6-acfe48aa348f,SNSKYJACKSL012,32ft Electric Scissor Lift,25000.0,450,Warehouse Ave 7,Chicago,IL,60607,USA,Aerial Lifts,Scissor Lifts,Skyjack,SJIII 3219,2022,True,True,/static/images/SNSKYJACKSL012.jpg,,RentWise Inc.,NY Logistics Center
66ce46e7-f3ad-4e9c-906a-95614906d8be,SNCATDOZER013,Medium Bulldozer,320000.0,4100,Quarry Site A,Seattle,WA,98101,USA,Earthmoving,Dozers,Caterpillar,D6T,2018,True,False,/static/images/SNCATDOZER013.jpg,,AgriCorp Solutions,Toronto Central Depot
7b7141b1-aa15-478d-a83a-765336c794e2,SNJLGTELE014,Telehandler 10k lbs,110000.0,1800,Construction Yard 3,Miami,FL,33101,USA,Material Handling,Telehandlers,JLG,1055,2019,True,True,/static/images/SNJLGTELE014.jpg,/static/videos/SNJLGTELE014.mp4,InfraBuild Co.,LAX Area Yard
998212b7-a88d-4fa8-8d14-0db77bb98e33,SNVOLVOWHL015,Wheel Loader Medium,210000.0,3300,Port Authority Dock 5,New York,NY,10004,USA,Earthmoving,Wheel Loaders,Volvo,L120H,2020,True,False,/static/images/SNVOLVOWHL015.jpg,,Precision Movers,Houston South Terminal
fbbce26c-8be2-4412-8237-20954a7402d8,SNBCMINIEX016,Mini Excavator,45000.0,750,Residential Project Alpha,Toronto,ON,M6K 1X9,Canada,Earthmoving,Mini Excavators,Bobcat,E35,2022,True,True,/static/images/SNBCMINIEX016.jpg,,UrbanScape Developers,Calgary North Operations
6418b7a0-eb6d-454c-974d-d4e0e70e9e17,SNGENIETL017,Trailer Mounted Boom Lift,65000.0,550,Rental Yard South,Los Angeles,CA,90210,USA,Aerial Lifts,Trailer Mounted Boom Lifts,Genie,TZ-50,2021,True,True,/static/images/SNGENIETL017.jpg,/static/videos/SNGENIETL017.mp4,TerraForm Earthworks,Boston Metro Hub
88b43569-6139-4022-93a3-833420a2a0fe,SNMANITOUFORK018,Rough Terrain Forklift,78000.0,1200,Lumber Mill Site,Seattle,WA,98104,USA,Material Handling,Forklifts,Manitou,M50-4,2019,True,False,/static/images/SNMANITOUFORK018.jpg,,HighRise Builders,NY Logistics Center
dc4301c5-f8e5-4bca-ae23-5f48f16f787c,SNCASECOMP019,Soil Compactor,130000.0,2800,Highway Project 101,Houston,TX,77042,USA,Compaction,Soil Compactors,Case,SV216D,2020,False,False,/static/images/SNCASECOMP019.jpg,,GreenField Landscaping,Toronto Central Depot
583bed1d-9454-4d74-9e02-d2531aae6fa1,SNKUBOTATRAC020,Compact Tractor with Loader,35000.0,600,Small Farm Holdings,Calgary,AB,T3A 0A1,Canada,Agricultural Equipment,Compact Tractors,Kubota,LX2610HSD,2022,True,True,/static/images/SNKUBOTATRAC020.jpg,/static/videos/SNKUBOTATRAC020.mp4,AllRoads Paving,LAX Area Yard
